K,epsilon,mean_rank_norm,std_rank_norm
5,0.01,0.8,0.19790570145063194
10,0.01,0.7629629629629631,0.10237240711915004
15,0.01,0.738095238095238,0.06476890718445447
20,0.01,0.7614035087719299,0.06758372029564287
25,0.01,0.7916666666666666,0.0537914353639919
30,0.01,0.7999999999999999,0.03713906763541038
35,0.01,0.8137254901960784,0.04577497070560294
40,0.01,0.812820512820513,0.04348907430156769
45,0.01,0.837121212121212,0.03425884561998488
50,0.01,0.8292517006802722,0.029093067728357958
55,0.01,0.834567901234568,0.028260550968542218
60,0.01,0.8305084745762713,0.030002074683280804
65,0.01,0.8427083333333333,0.02418372242967479
70,0.01,0.8454106280193237,0.026283034799488767
75,0.01,0.8436936936936938,0.022527026576666647
80,0.01,0.8535864978902955,0.021847415132488803
85,0.01,0.8503968253968254,0.02547421245349845
90,0.01,0.8558052434456929,0.024970349514282068
95,0.01,0.8645390070921987,0.01820637964963608
100,0.01,0.8656565656565657,0.018097447340574654
5,0.001,0.9583333333333334,0.09316949906249122
10,0.001,0.9518518518518518,0.06839327893562737
15,0.001,0.945238095238095,0.043967107887189015
20,0.001,0.943859649122807,0.03827618285837093
25,0.001,0.9319444444444444,0.03313016789410158
30,0.001,0.9333333333333331,0.02344376787858753
35,0.001,0.9421568627450978,0.0335202372495662
40,0.001,0.9461538461538461,0.022304253590939963
45,0.001,0.9484848484848484,0.024147541591680675
50,0.001,0.9448979591836736,0.01759526143724836
55,0.001,0.9493827160493826,0.016517392790443994
60,0.001,0.9468926553672318,0.01561612989953136
65,0.001,0.9505208333333334,0.013431038498153781
70,0.001,0.9512077294685992,0.0169357953072059
75,0.001,0.9490990990990993,0.013817893378538705
80,0.001,0.9535864978902956,0.016771820180887582
85,0.001,0.951190476190476,0.014853148628740395
90,0.001,0.9513108614232209,0.012421815694214994
95,0.001,0.9570921985815605,0.011485201943760041
100,0.001,0.9575757575757573,0.010234804143818626
5,0.0001,1.0,0.0
10,0.0001,1.0,0.0
15,0.0001,0.9904761904761904,0.02428104530282278
20,0.0001,0.9964912280701754,0.013128622409733144
25,0.0001,0.9916666666666667,0.016666666666666653
30,0.0001,0.9908045977011495,0.019775460384006037
35,0.0001,0.9921568627450981,0.013006371726883922
40,0.0001,0.994017094017094,0.010844938068760284
45,0.0001,0.993939393939394,0.010050378152592111
50,0.0001,0.9931972789115647,0.009620500424306778
55,0.0001,0.9919753086419754,0.011398879822604562
60,0.0001,0.9898305084745762,0.010356103265436914
65,0.0001,0.9890625,0.009155414495441118
70,0.0001,0.9917874396135266,0.008920862469864429
75,0.0001,0.9891891891891892,0.00731895351769004
80,0.0001,0.9932489451476797,0.007825838392823367
85,0.0001,0.990079365079365,0.00873917283553383
90,0.0001,0.9883895131086143,0.0073869224431895395
95,0.0001,0.9914893617021278,0.006948907071725329
100,0.0001,0.9898989898989898,0.007376734781214365
5,1e-05,1.0,0.0
10,1e-05,1.0,0.0
15,1e-05,1.0,0.0
20,1e-05,1.0,0.0
25,1e-05,0.9986111111111112,0.007479395565464581
30,1e-05,1.0,0.0
35,1e-05,1.0,0.0
40,1e-05,1.0,0.0
45,1e-05,0.9992424242424243,0.004079670308435225
50,1e-05,1.0,0.0
55,1e-05,1.0,0.0
60,1e-05,0.9994350282485875,0.00304246599273135
65,1e-05,0.9994791666666667,0.002804773337049221
70,1e-05,0.9995169082125605,0.0026015288923355007
75,1e-05,1.0,0.0
80,1e-05,0.99957805907173,0.0022722214376094878
85,1e-05,0.9996031746031746,0.0021369701615613036
90,1e-05,0.9988764044943821,0.003370786516853941
95,1e-05,1.0,0.0
100,1e-05,1.0,0.0
