alpha,method,F_mean,F_std
0.0,plain_LS,0.9998457079048936,3.6986319795093714e-05
0.0,structural_prior,0.9998457079048936,3.698631979509971e-05
0.1,plain_LS,0.9998457079048936,3.69863197951005e-05
0.1,structural_prior,0.9998457079048936,3.698631979509971e-05
0.2,plain_LS,0.9998457079048936,3.69863197951005e-05
0.2,structural_prior,0.9998457079048936,3.698631979509971e-05
0.3,plain_LS,0.9998457079048936,3.6986319795097373e-05
0.3,structural_prior,0.9998457079048936,3.698631979509971e-05
0.4,plain_LS,0.9998457079048936,3.69863197951005e-05
0.4,structural_prior,0.9998457079048936,3.698631979509971e-05
0.5,plain_LS,0.9998457079048936,3.69863197951005e-05
0.5,structural_prior,0.9998457079048936,3.698631979509971e-05
0.6,plain_LS,0.9998457079048936,3.6986319795093714e-05
0.6,structural_prior,0.9998457079048936,3.6986319795098864e-05
