K,naive_F_mean,naive_F_std,opt_2K_F_mean,opt_2K_F_std,plain_1K_F_mean,plain_1K_F_std,plain_2K_F_mean,plain_2K_F_std,prior_1K_F_mean,prior_1K_F_std,prior_2K_F_mean,prior_2K_F_std,naive_pairwise_time_s,multiplexed_2K_time_s
5,0.8034651131746267,0.26161891028729023,0.9997219160406304,0.00027250294275055724,0.941807182333306,0.18376569959729006,0.9998567572277575,0.00013412368005340494,0.9835777691688381,0.048984612479113634,0.999796667072077,0.00023755891865635882,80.0,80.0
10,0.4311417208608139,0.3068483186806298,0.9996732639374069,0.00023976744114282694,0.8733769904912995,0.2913008968694976,0.9998886982005719,6.0904603222158305e-05,0.891481932936059,0.2756721982714292,0.9998911112562919,8.086317537286807e-05,360.0,160.0
15,0.3247516099532609,0.2771152741284771,0.9997614328707315,0.00019687463731711153,0.9865212787699685,0.024632657264137,0.9998586686084445,5.639061619729172e-05,0.8843006940081025,0.22996044007455033,0.9997817362114818,0.0001871437901453016,840.0,240.0
20,0.12522475426485152,0.13653761267497802,0.999782144657113,0.00012899508453612484,0.9700824179848742,0.04029626793869896,0.999803378400363,7.657950275304316e-05,0.9461804186997398,0.09034634136432955,0.9998364314108158,7.652876699403131e-05,1520.0,320.0
25,0.12754791448285255,0.18318448192573328,0.9996960903686792,0.0002407439684741643,0.9774652874047566,0.03505056518351402,0.9998637777280126,7.22982080455184e-05,0.9234684506071412,0.2470725142477604,0.999839720075104,7.893562622196639e-05,2400.0,400.0
30,0.022844413632329783,0.018926156221944088,0.9997855667859415,5.479446493851743e-05,0.9182509212669271,0.163095261582203,0.9998497595774882,3.753282180748026e-05,0.9583174603905023,0.0619723852715069,0.9998412356348141,6.173587801598064e-05,3480.0,480.0
35,0.031175160343150068,0.039312372674596745,0.9998034721334451,7.663301447396762e-05,0.7979699817343618,0.3272072782689141,0.9998555946133897,4.2493530985354354e-05,0.8496545470680592,0.2628099484314791,0.99984569408108,4.599648751851404e-05,4760.0,560.0
40,0.027127635896879127,0.04582123518307153,0.9997805692116774,8.723412106506415e-05,0.7826698461391702,0.38201724475431625,0.9998394400210168,7.150656310258801e-05,0.8378803214044296,0.2749381877761743,0.9998261328566206,7.248821330421668e-05,6240.0,640.0
45,0.015485074044222197,0.02443628914057629,0.9998125794302128,6.364043963003742e-05,0.8642486877785049,0.24814320713274382,0.9998294764842403,6.431716442887206e-05,0.8446260774066817,0.28671045994318767,0.9998507504562811,3.9966851392030874e-05,7920.0,720.0
50,0.0027386758155039537,0.006294152235636748,0.9998309097473546,4.562231783237717e-05,0.9254548844259739,0.16684220281325687,0.9998469906665096,3.660492816145689e-05,0.8939860750403408,0.2210378076544739,0.9998171257504473,6.0792421513588245e-05,9800.0,800.0
55,0.0008230231909492921,0.0012459528480297845,0.9998261978615647,5.0023545521684966e-05,0.8810880452443015,0.25262098401193234,0.9998359961572874,4.715282471233079e-05,0.6757635416993816,0.35826601920847406,0.9998332444798604,4.309172701843383e-05,11880.0,880.0
60,0.0010063274696754372,0.001837583452964899,0.9998205703315904,4.877774958567977e-05,0.9509548273617857,0.06949708748634721,0.9998282218472391,3.823278552434561e-05,0.8796317431086907,0.2384686978571078,0.999830733943743,4.466715898637389e-05,14160.0,960.0
65,0.0007218970182252672,0.0015010676581036083,0.9998244192573712,6.0907083799367976e-05,0.8515349306401506,0.2704098581493863,0.999833439708271,3.795309094594086e-05,0.8370733012972772,0.31397302292642015,0.9998244192573712,6.0907083799367976e-05,16640.0,1040.0
70,0.0018789086565671601,0.0061721560466977115,0.9998302780221646,3.2517566821365446e-05,0.914500256824512,0.17693973618644154,0.9998225095620668,4.775636792631309e-05,0.8941337822526522,0.1673083886818574,0.9998302780221646,3.2517566821365446e-05,19320.0,1120.0
75,0.0002808634962689568,0.0006090872877408708,0.9998354165474755,5.3077198059339586e-05,0.957769614993327,0.06386252203501165,0.9998404003517642,4.4687966531405584e-05,0.8905829032494327,0.24649562768414776,0.9998354165474755,5.3077198059339586e-05,22200.0,1200.0
80,0.0008265759308481564,0.001673948248876312,0.9998237056246347,4.072159701048629e-05,0.8665721565461513,0.26861811458457263,0.9998309118965116,3.708180497681636e-05,0.882012175245969,0.25663944274039024,0.9998237056246347,4.072159701048629e-05,25280.0,1280.0
