qubit_i,u_initial,u_optimized,phase_nominal_true_M,phase_optimized_true_M
0,10.0,5.0,-2.4258630320441403,-1.3586994168602702
1,10.0,6.080221358426643,11.932185218160964,5.81958984859973
2,10.0,5.0,4.561693019117641,2.306693896622904
3,10.0,5.0,0.6058700381396731,0.15393029557445725
4,10.0,5.0,-6.1371916783185085,-3.2102003459020967
5,10.0,5.0,-2.8518034596230777,-1.2688260583715176
6,10.0,5.0,2.466613364225671,1.0827923573316052
7,10.0,5.0,-6.2227609294916055,-3.253850966248852
8,10.0,5.0,0.6223468285812754,0.19020198931064303
9,10.0,5.0,-4.059341403455555,-1.0322111291124578
10,10.0,5.0,-1.798641965579377,-1.0490442734764858
11,10.0,5.0,-4.431191056884231,-0.6219886600225206
12,10.0,5.0,-2.341560533807292,-1.2897087489693717
13,10.0,5.0,-5.514200708890811,-2.900256599216442
14,10.0,5.0,6.140788744762393,2.9206476637940018
15,10.0,5.0,-0.5121492304255288,0.3810527396726484
16,10.0,15.0,5.652464556189651,2.6940577335685063
17,10.0,5.0,2.137700082330494,0.9215568886563328
18,10.0,5.0,1.5505700786341268,0.6254879193535983
19,10.0,5.0,-5.853843790076494,-3.077584913204792
20,10.0,5.0,8.940629088401403,4.3801396360842055
21,10.0,5.0,0.23204475996084728,0.19536944873788942
22,10.0,5.0,-3.5634309305956196,-1.9176112678556656
23,10.0,5.0,4.55652288222377,2.128041848852477
24,10.0,5.0,1.9446097129712974,0.8234353036718565
25,10.0,5.0,5.455408193198688,2.5828701720950487
26,10.0,5.0,-3.396542400474946,-1.8458937876751307
27,10.0,5.0,-5.710514006302146,-3.0031092428860777
28,10.0,5.0,-2.919623866890143,-0.5975413367428446
29,10.0,5.0,-3.3237477001450153,-1.812250917968314
30,10.0,5.0,-5.000265117815248,-2.3731616594659055
31,10.0,5.0,-2.623677057363083,-1.4622441957865615
32,10.0,5.0,5.064332637219435,2.399065812153908
33,10.0,5.0,15.506884374232797,7.681209059751158
34,10.0,5.0,6.351602176402526,3.02596131488676
35,10.0,5.0,-5.973507757331829,-3.137175448944612
36,10.0,5.0,-4.496063655782621,-2.396889880969659
37,10.0,5.0,-5.401525232928394,-2.8468965638886257
38,10.0,5.0,-2.9843761458206197,-1.6413121717990835
39,10.0,5.0,3.8195559052936305,1.7843536566495484
